거래 #,타입,날짜 및 시간,신호,가격 USD,포지션 크기 (수량),포지션 크기 (가치),순손익 USD,순손익 %,유리한 변동 USD,유리한 변동 %,불리한 변동 USD,불리한 변동 %,누적 손익 USD,누적 손익 %
1,매수 청산,2023-01-04 09:20,반대신호정리,1838.51,23.01,42302.5044,1.61,0.00,36.13,0.09,-50.62,-0.12,1.61,0.02
1,매수 진입,2023-01-04 05:30,L1,1838.44,23.01,42302.5044,1.61,0.00,36.13,0.09,-50.62,-0.12,1.61,0.02
2,매도 청산,2023-01-05 15:50,XS1,1852.155,202.02,374172.3531,0,0.00,302.02,0.08,-726.26,-0.19,1.61,0.02
2,매도 진입,2023-01-05 14:00,S1,1852.155,202.02,374172.3531,0,0.00,302.02,0.08,-726.26,-0.19,1.61,0.02
3,매도 청산,2023-01-05 15:50,XS2,1852.155,246.91,457537.8101,222.22,0.05,253.08,0.06,-665.42,-0.15,223.83,2.24
3,매도 진입,2023-01-05 14:40,S2,1853.055,246.91,457537.8101,222.22,0.05,253.08,0.06,-665.42,-0.15,223.83,2.24
4,매도 청산,2023-01-05 15:50,XS3,1852.155,317.46,588556.5543,571.43,0.10,571.43,0.10,-569.84,-0.10,795.26,7.95
4,매도 진입,2023-01-05 15:00,S3,1853.955,317.46,588556.5543,571.43,0.10,571.43,0.10,-569.84,-0.10,795.26,7.95
5,매도 청산,2023-01-05 15:50,XS4,1852.155,444.44,824371.7562,1199.99,0.15,1199.99,0.15,-397.77,-0.05,1995.25,19.95
5,매도 진입,2023-01-05 15:00,S4,1854.855,444.44,824371.7562,1199.99,0.15,1199.99,0.15,-397.77,-0.05,1995.25,19.95
6,매도 청산,2023-01-05 22:10,XS1,1843.73,37.72,69727.306,181.81,0.26,181.81,0.26,-107.69,-0.15,2177.06,21.77
6,매도 진입,2023-01-05 18:20,S1,1848.55,37.72,69727.306,181.81,0.26,181.81,0.26,-107.69,-0.15,2177.06,21.77
7,매도 청산,2023-01-06 00:30,XS1,1826.135,65.63,120394.6253,545.39,0.45,545.39,0.45,-136.84,-0.11,2722.44,27.22
7,매도 진입,2023-01-06 00:00,S1,1834.445,65.63,120394.6253,545.39,0.45,545.39,0.45,-136.84,-0.11,2722.44,27.22
8,매수 청산,2023-01-06 19:10,XL1,1836.315,92.29,169473.5114,0,0.00,23.07,0.01,-276.41,-0.16,2722.44,27.22
8,매수 진입,2023-01-06 18:10,L1,1836.315,92.29,169473.5114,0,0.00,23.07,0.01,-276.41,-0.16,2722.44,27.22
9,매수 청산,2023-01-06 19:10,XL2,1836.315,112.8,206914.116,222.22,0.11,250.42,0.12,-115.62,-0.06,2944.66,29.45
9,매수 진입,2023-01-06 18:20,L2,1834.345,112.8,206914.116,222.22,0.11,250.42,0.12,-115.62,-0.06,2944.66,29.45
10,매수 청산,2023-01-06 19:50,XL1,1836.985,92.29,169321.6943,213.65,0.13,305.48,0.18,-10.61,-0.01,3158.31,31.58
10,매수 진입,2023-01-06 19:30,L1,1834.67,92.29,169321.6943,213.65,0.13,305.48,0.18,-10.61,-0.01,3158.31,31.58
11,매수 청산,2023-01-06 22:30,XL1,1839.07,92.29,169545.959,181.81,0.11,181.81,0.11,-222.42,-0.13,3340.12,33.40
