time,open,high,low,close,"Bollinger Upper Band (20,2)","Bollinger Lower Band (20,2)","(20,2) Upper Band 미리보기","(20,2) Lower Band 미리보기","Bollinger Upper Band (4,4)","Bollinger Lower Band (4,4)","(4,4) Lower Band 미리보기","(4,4) Upper Band 미리보기",20-Period Moving Average,120-Period Moving Average,WMA1,WMA1 미리보기,WMA2,WMA2 미리보기,더블비 매도,더블비 매수,원비 매도,원비 매수,아시아 박스 상단값,아시아 박스 하단값,20 SMA,120 SMA,골든 크로스,데드 크로스,Xtrender Up Turn,Xtrender Down Turn,RSI (14),상승 다이버전스,Plot,히든 상승 다이버전스,Plot.1,하락 다이버전스,Plot.2,히든 하락 다이버전스,Plot.3,더블비 매도.1,더블비 매수.1,(매수) signal,(매도) signal,골든 크로스.1,데드 크로스.1,RSI Basis (plot),RSI Upper (plot),RSI Lower (plot),RSI Disp Up (plot),RSI Disp Down (plot),Current RSI Colored (plot)
2023-06-12T07:00:00+09:00,1960.745,1960.745,1959.61,1959.835,,,,,,,,,,,,,,,0,0,0,0,,,,,0,0,,,,0.0,,0.0,,0.0,,0.0,,0,0,0,0,0,0,,,,,,
2023-06-12T07:10:00+09:00,1959.835,1960.43,1959.81,1960.02,,,,,,,,,,,,,,,0,0,0,0,,,,,0,0,,,,0.0,,0.0,,0.0,,0.0,,0,0,0,0,0,0,,,,,,
2023-06-12T07:20:00+09:00,1960.02,1960.535,1959.95,1960.155,,,,,,,,,,,,,,,0,0,0,0,,,,,0,0,,,,0.0,,0.0,,0.0,,0.0,,0,0,0,0,0,0,,,,,,
2023-06-12T07:30:00+09:00,1960.155,1960.155,1959.46,1959.76,,,,,1961.5513486199168,1958.8261513800835,,,,,1960.1095,,,,0,0,0,0,,,,,0,0,,,,0.0,,0.0,,0.0,,0.0,,0,0,0,0,0,0,,,,,,
2023-06-12T07:40:00+09:00,1959.76,1959.885,1958.84,1959.1,,,,,1960.562258009331,1959.3227419906696,1959.3227419906696,1960.562258009331,,,1959.938,1959.938,,,0,0,0,1,,,,,0,0,,,,0.0,,0.0,,0.0,,0.0,,0,0,0,0,0,0,,,,,,
2023-06-12T07:50:00+09:00,1959.1,1959.41,1958.845,1959.03,,,,,1961.3825957450067,1958.1349042549928,1958.1349042549928,1961.3825957450067,,,1959.601,1959.601,,,0,0,0,0,1960.745,1958.84,,,0,0,,,,0.0,,0.0,,0.0,,0.0,,0,0,0,0,0,0,,,,,,
2023-06-12T08:00:00+09:00,1959.03,1959.03,1958.095,1958.41,,,,,1961.3842355822735,1957.6382644177263,1957.6382644177263,1961.3842355822735,,,1959.3095,1959.3095,,,0,0,0,0,1960.745,1958.84,,,0,0,,,,0.0,,0.0,,0.0,,0.0,,0,0,0,0,0,0,,,,,,
2023-06-12T08:10:00+09:00,1958.41,1959.28,1958.34,1959.28,,,,,1960.9871715391375,1957.1628284608623,1957.1628284608623,1960.9871715391375,,,1958.869,1958.869,,,0,0,0,0,1960.745,1958.84,,,0,0,,,,0.0,,0.0,,0.0,,0.0,,0,0,0,0,0,0,,,,,,
2023-06-12T08:20:00+09:00,1959.28,1960.58,1959.045,1960.32,,,,,1960.265419775745,1957.6445802242556,1957.6445802185692,1960.2654197814304,,,1958.951,1958.951,,,0,0,1,0,1960.745,1958.84,,,0,0,,,,0.0,,0.0,,0.0,,0.0,,0,0,0,0,0,0,,,,,,
2023-06-12T08:30:00+09:00,1960.32,1960.51,1959.645,1959.745,,,,,1962.016374431308,1956.5036255686923,1956.503625570044,1962.016374429956,,,1959.497,1959.497,,,0,0,0,0,1960.745,1958.84,,,0,0,,,,0.0,,0.0,,0.0,,0.0,,0,0,0,0,0,0,,,,,,
2023-06-12T08:40:00+09:00,1959.745,1960.57,1959.525,1960.285,,,,,1962.234402877731,1956.6430971222685,1956.643097123601,1962.2344028763985,,,1959.691,1959.691,,,0,0,0,0,1960.745,1958.84,,,0,0,,,,0.0,,0.0,,0.0,,0.0,,0,0,0,0,0,0,,,,,,
2023-06-12T08:50:00+09:00,1960.285,1960.33,1959.905,1960.055,,,,,1961.619603972969,1958.1953960270305,1958.1953960270305,1961.619603972969,,,1960.0295,1960.0295,,,0,0,0,0,1960.745,1958.84,,,0,0,,,,0.0,,0.0,,0.0,,0.0,,0,0,0,0,0,0,,,,,,
